Date,VOO,VEA,VWO,VNQ
2016-12-01,187.65200805664062,31.763376235961914,31.493741989135742,67.74276733398438
2017-01-01,192.19143676757812,33.19900131225586,33.467647552490234,69.03074645996094
2017-02-01,199.64105224609375,33.549560546875,34.219425201416016,71.45270538330078
2017-03-01,198.97889709472656,34.44351577758789,35.13041687011719,69.21510314941406
2017-04-01,201.98329162597656,35.341064453125,35.74228286743164,69.88977813720703
2017-05-01,204.81988525390625,36.546390533447266,36.0966911315918,69.38327026367188
2017-06-01,205.1802978515625,36.35282897949219,36.17643737792969,70.26121520996094
2017-07-01,210.36062622070312,37.838504791259766,38.34734344482422,71.81014251708984
2017-08-01,210.97325134277344,37.847412109375,39.49749755859375,71.62265014648438
2017-09-01,214.18470764160156,38.63960647583008,38.84663009643555,70.81301879882812
